Area Grouping,"sGST(17,18,19ab,28,29)",,,,
Type,DFO TOTAL MORTALITIES,,,,
,,,,,
Sum of Fish,Month,,,,
Year,May,June,July,August,September
2019,979.2,1178.8,5284.6,12033.2,4217.8
2020,451.4,423.4,3142.6,2715.2,6100.6
2021,470.6,1396.2,3298.4,3438.4,2231
