"","YEAR","Type","Distinction","Area","Fish"
"107",1998,"Legal","Kept","WCVI offshore",NA
"108",1998,"Legal","Kept","WCVI inshore",59558
"109",1999,"Legal","Kept","North Island JST",NA
"110",1999,"Legal","Kept","Northern GST",23228
"111",1999,"Legal","Kept","Southern GST",11796
"112",1999,"Legal","Kept","Saanich-Juan de Fuca",13740
"113",1999,"Legal","Kept","WCVI offshore",NA
"114",1999,"Legal","Kept","WCVI inshore",80861
"115",2000,"Legal","Kept","North Island JST",5718
"116",2000,"Legal","Kept","Northern GST",17292
"117",2000,"Legal","Kept","Southern GST",4556
"118",2000,"Legal","Kept","Saanich-Juan de Fuca",15481
"119",2000,"Legal","Kept","WCVI offshore",14414
"120",2000,"Legal","Kept","WCVI inshore",26692
"121",2001,"Legal","Kept","North Island JST",3763
"122",2001,"Legal","Kept","Northern GST",21493
"123",2001,"Legal","Kept","Southern GST",9736
"124",2001,"Legal","Kept","Saanich-Juan de Fuca",23857
"125",2001,"Legal","Kept","WCVI offshore",15756
"126",2001,"Legal","Kept","WCVI inshore",14387
"127",2002,"Legal","Kept","North Island JST",2331
"128",2002,"Legal","Kept","Northern GST",43746
"129",2002,"Legal","Kept","Southern GST",9162
"130",2002,"Legal","Kept","Saanich-Juan de Fuca",24979
"131",2002,"Legal","Kept","WCVI offshore",27604
"132",2002,"Legal","Kept","WCVI inshore",39776
"133",2003,"Legal","Kept","North Island JST",7213
"134",2003,"Legal","Kept","Northern GST",14042
"135",2003,"Legal","Kept","Southern GST",6232
"136",2003,"Legal","Kept","Saanich-Juan de Fuca",27771
"137",2003,"Legal","Kept","WCVI offshore",23446
"138",2003,"Legal","Kept","WCVI inshore",54564
"139",2004,"Legal","Kept","North Island JST",12794
"140",2004,"Legal","Kept","Northern GST",10079
"141",2004,"Legal","Kept","Southern GST",3527
"142",2004,"Legal","Kept","Saanich-Juan de Fuca",40912
"143",2004,"Legal","Kept","WCVI offshore",33778
"144",2004,"Legal","Kept","WCVI inshore",66525
"145",2005,"Legal","Kept","North Island JST",12007
"146",2005,"Legal","Kept","Northern GST",10393
"147",2005,"Legal","Kept","Southern GST",1671
"148",2005,"Legal","Kept","Saanich-Juan de Fuca",30717
"149",2005,"Legal","Kept","WCVI offshore",42533
"150",2005,"Legal","Kept","WCVI inshore",51705
"151",2006,"Legal","Kept","North Island JST",7237
"152",2006,"Legal","Kept","Northern GST",9756
"153",2006,"Legal","Kept","Southern GST",2218
"154",2006,"Legal","Kept","Saanich-Juan de Fuca",26646
"155",2006,"Legal","Kept","WCVI offshore",32844
"156",2006,"Legal","Kept","WCVI inshore",47689
"157",2007,"Legal","Kept","North Island JST",9134
"158",2007,"Legal","Kept","Northern GST",12374
"159",2007,"Legal","Kept","Southern GST",2030
"160",2007,"Legal","Kept","Saanich-Juan de Fuca",28104
"161",2007,"Legal","Kept","WCVI offshore",35607
"162",2007,"Legal","Kept","WCVI inshore",50084
"163",2008,"Legal","Kept","North Island JST",4353
"164",2008,"Legal","Kept","Northern GST",6397
"165",2008,"Legal","Kept","Southern GST",2494
"166",2008,"Legal","Kept","Saanich-Juan de Fuca",22311
"167",2008,"Legal","Kept","WCVI offshore",43333
"168",2008,"Legal","Kept","WCVI inshore",32253
"169",2009,"Legal","Kept","North Island JST",10776
"170",2009,"Legal","Kept","Northern GST",12083
"171",2009,"Legal","Kept","Southern GST",5468
"172",2009,"Legal","Kept","Saanich-Juan de Fuca",31881
"173",2009,"Legal","Kept","WCVI offshore",57862
"174",2009,"Legal","Kept","WCVI inshore",34192
"175",2010,"Legal","Kept","North Island JST",9392
"176",2010,"Legal","Kept","Northern GST",11841
"177",2010,"Legal","Kept","Southern GST",3094
"178",2010,"Legal","Kept","Saanich-Juan de Fuca",15621
"179",2010,"Legal","Kept","WCVI offshore",48631
"180",2010,"Legal","Kept","WCVI inshore",30980
"181",2011,"Legal","Kept","North Island JST",11933
"182",2011,"Legal","Kept","Northern GST",15510
"183",2011,"Legal","Kept","Southern GST",6113
"184",2011,"Legal","Kept","Saanich-Juan de Fuca",21101
"185",2011,"Legal","Kept","WCVI offshore",68371
"186",2011,"Legal","Kept","WCVI inshore",58969
"187",2012,"Legal","Kept","North Island JST",8298
"188",2012,"Legal","Kept","Northern GST",15568
"189",2012,"Legal","Kept","Southern GST",6864
"190",2012,"Legal","Kept","Saanich-Juan de Fuca",22184
"191",2012,"Legal","Kept","WCVI offshore",56488
"192",2012,"Legal","Kept","WCVI inshore",34988
"193",2013,"Legal","Kept","North Island JST",8261
"194",2013,"Legal","Kept","Northern GST",24138
"195",2013,"Legal","Kept","Southern GST",8974
"196",2013,"Legal","Kept","Saanich-Juan de Fuca",32363
"197",2013,"Legal","Kept","WCVI offshore",55762
"198",2013,"Legal","Kept","WCVI inshore",31508
"199",2014,"Legal","Kept","North Island JST",9338
"200",2014,"Legal","Kept","Northern GST",35107
"201",2014,"Legal","Kept","Southern GST",10090
"202",2014,"Legal","Kept","Saanich-Juan de Fuca",20295
"203",2014,"Legal","Kept","WCVI offshore",44171
"204",2014,"Legal","Kept","WCVI inshore",41429
"205",2015,"Legal","Kept","North Island JST",12031
"206",2015,"Legal","Kept","Northern GST",55329
"207",2015,"Legal","Kept","Southern GST",16513
"208",2015,"Legal","Kept","Saanich-Juan de Fuca",41370
"209",2015,"Legal","Kept","WCVI offshore",41493
"210",2015,"Legal","Kept","WCVI inshore",41593
"211",2016,"Legal","Kept","North Island JST",8736
"212",2016,"Legal","Kept","Northern GST",32971
"213",2016,"Legal","Kept","Southern GST",11584
"214",2016,"Legal","Kept","Saanich-Juan de Fuca",23069
"215",2016,"Legal","Kept","WCVI offshore",37493
"216",2016,"Legal","Kept","WCVI inshore",28342
"217",2017,"Legal","Kept","North Island JST",13878
"218",2017,"Legal","Kept","Northern GST",42180
"219",2017,"Legal","Kept","Southern GST",16496
"220",2017,"Legal","Kept","Saanich-Juan de Fuca",29210
"221",2017,"Legal","Kept","WCVI offshore",44433
"222",2017,"Legal","Kept","WCVI inshore",49114
"223",2018,"Legal","Kept","North Island JST",13998
"224",2018,"Legal","Kept","Northern GST",49527
"225",2018,"Legal","Kept","Southern GST",17383
"226",2018,"Legal","Kept","Saanich-Juan de Fuca",31086
"227",2018,"Legal","Kept","WCVI offshore",31242
"228",2018,"Legal","Kept","WCVI inshore",51172
"229",2019,"Legal","Kept","North Island JST",11226
"230",2019,"Legal","Kept","Northern GST",32017
"231",2019,"Legal","Kept","Southern GST",13675
"232",2019,"Legal","Kept","Saanich-Juan de Fuca",21193
"233",2019,"Legal","Kept","WCVI offshore",15712
"234",2019,"Legal","Kept","WCVI inshore",64691
"235",2020,"Legal","Kept","North Island JST",6592
"236",2020,"Legal","Kept","Northern GST",27946
"237",2020,"Legal","Kept","Southern GST",5291
"238",2020,"Legal","Kept","Saanich-Juan de Fuca",13763
"239",2020,"Legal","Kept","WCVI offshore",10558
"240",2020,"Legal","Kept","WCVI inshore",39621
"241",2021,"Legal","Kept","North Island JST",8390
"242",2021,"Legal","Kept","Northern GST",37260
"243",2021,"Legal","Kept","Southern GST",4079
"244",2021,"Legal","Kept","Saanich-Juan de Fuca",17192
"245",2021,"Legal","Kept","WCVI offshore",9304
"246",2021,"Legal","Kept","WCVI inshore",55091
"247",1989,"Legal","Released","North Island JST",NA
"248",1989,"Legal","Released","Northern GST",109701
"249",1989,"Legal","Released","Southern GST",62006
"250",1989,"Legal","Released","Saanich-Juan de Fuca",18481
"251",1989,"Legal","Released","WCVI offshore",NA
"252",1989,"Legal","Released","WCVI inshore",NA
"253",1990,"Legal","Released","North Island JST",NA
"254",1990,"Legal","Released","Northern GST",132588
"255",1990,"Legal","Released","Southern GST",52385
