"","YEAR","Type","Distinction","Area","Fish"
"532",2014,"Sub-Legal","Released","Saanich-Juan de Fuca",8938
"533",2014,"Sub-Legal","Released","WCVI offshore",11266
"534",2014,"Sub-Legal","Released","WCVI inshore",17312
"535",2015,"Sub-Legal","Released","North Island JST",6252
"536",2015,"Sub-Legal","Released","Northern GST",25471
"537",2015,"Sub-Legal","Released","Southern GST",6186
"538",2015,"Sub-Legal","Released","Saanich-Juan de Fuca",18038
"539",2015,"Sub-Legal","Released","WCVI offshore",5887
"540",2015,"Sub-Legal","Released","WCVI inshore",8726
"541",2016,"Sub-Legal","Released","North Island JST",6336
"542",2016,"Sub-Legal","Released","Northern GST",44602
"543",2016,"Sub-Legal","Released","Southern GST",9810
"544",2016,"Sub-Legal","Released","Saanich-Juan de Fuca",16842
"545",2016,"Sub-Legal","Released","WCVI offshore",9437
"546",2016,"Sub-Legal","Released","WCVI inshore",28824
"547",2017,"Sub-Legal","Released","North Island JST",14371
"548",2017,"Sub-Legal","Released","Northern GST",51737
"549",2017,"Sub-Legal","Released","Southern GST",20286
"550",2017,"Sub-Legal","Released","Saanich-Juan de Fuca",21057
"551",2017,"Sub-Legal","Released","WCVI offshore",8504
"552",2017,"Sub-Legal","Released","WCVI inshore",23217
"553",2018,"Sub-Legal","Released","North Island JST",12887
"554",2018,"Sub-Legal","Released","Northern GST",36636
"555",2018,"Sub-Legal","Released","Southern GST",15219
"556",2018,"Sub-Legal","Released","Saanich-Juan de Fuca",38153
"557",2018,"Sub-Legal","Released","WCVI offshore",8490
"558",2018,"Sub-Legal","Released","WCVI inshore",48003
"559",2019,"Sub-Legal","Released","North Island JST",10576
"560",2019,"Sub-Legal","Released","Northern GST",48300
"561",2019,"Sub-Legal","Released","Southern GST",26134
"562",2019,"Sub-Legal","Released","Saanich-Juan de Fuca",13126
"563",2019,"Sub-Legal","Released","WCVI offshore",4962
"564",2019,"Sub-Legal","Released","WCVI inshore",39435
"565",2020,"Sub-Legal","Released","North Island JST",6727
"566",2020,"Sub-Legal","Released","Northern GST",51539
"567",2020,"Sub-Legal","Released","Southern GST",30611
"568",2020,"Sub-Legal","Released","Saanich-Juan de Fuca",20186
"569",2020,"Sub-Legal","Released","WCVI offshore",3001
"570",2020,"Sub-Legal","Released","WCVI inshore",17026
"571",2021,"Sub-Legal","Released","North Island JST",10681
"572",2021,"Sub-Legal","Released","Northern GST",102799
"573",2021,"Sub-Legal","Released","Southern GST",25980
"574",2021,"Sub-Legal","Released","Saanich-Juan de Fuca",27308
"575",2021,"Sub-Legal","Released","WCVI offshore",7691
"576",2021,"Sub-Legal","Released","WCVI inshore",75041
